date,eurusd,eurgbp,gbpusd
2014-12-31,1.2141,0.7789,1.558736679933239
2015-01-02,1.2043,0.78,1.5439743589743589
2015-01-05,1.1915,0.7827,1.5222946211830843
2015-01-06,1.1914,0.7842,1.5192552920173426
2015-01-07,1.1831,0.7823,1.5123354211939155
2015-01-08,1.1768,0.7811,1.5065932659070542
2015-01-09,1.1813,0.7799,1.5146813694063341
2015-01-12,1.1804,0.7791,1.515081504299833
2015-01-13,1.1782,0.7767,1.5169306038367452
2015-01-14,1.1775,0.7753,1.5187669289307364
2015-01-15,1.1708,0.7672,1.5260688216892597
2015-01-16,1.1588,0.7637,1.517349744664135
2015-01-19,1.1605,0.7664,1.5142223382045932
2015-01-20,1.1579,0.7637,1.5161712714416653
2015-01-21,1.1593,0.7671,1.5112762351714248
2015-01-22,1.1618,0.7644,1.5198848770277342
2015-01-23,1.1198,0.7473,1.498461126722869
2015-01-26,1.1244,0.74895,1.5013018225515722
2015-01-27,1.1306,0.74725,1.513014386082302
2015-01-28,1.1344,0.7466,1.5194213769086526
2015-01-29,1.1315,0.74775,1.5132062855232362
2015-01-30,1.1305,0.7511,1.505125815470643
2015-02-02,1.131,0.7526,1.5027903268668614
2015-02-03,1.1376,0.75395,1.5088533722395383
2015-02-04,1.1446,0.7516,1.5228845130388504
2015-02-05,1.141,0.7482,1.524993317294841
2015-02-06,1.1447,0.7473,1.5317810785494448
2015-02-09,1.1275,0.7415,1.5205664194200943
2015-02-10,1.1297,0.742,1.5225067385444744
2015-02-11,1.1314,0.7396,1.5297458085451594
2015-02-12,1.1328,0.7376,1.5357917570498916
2015-02-13,1.1381,0.7401,1.537765166869342
2015-02-16,1.1408,0.7421,1.5372591294973723
2015-02-17,1.1415,0.7434,1.5355125100887814
2015-02-18,1.1372,0.7372,1.5425935973955507
2015-02-19,1.1387,0.7379,1.5431630302208972
2015-02-20,1.1298,0.7348,1.5375612411540553
2015-02-23,1.1298,0.7352,1.5367247007616975
2015-02-24,1.1328,0.7344,1.5424836601307188
2015-02-25,1.1346,0.7328,1.5483078602620088
2015-02-26,1.1317,0.7301,1.550061635392412
2015-02-27,1.124,0.7278,1.5443803242649081
2015-03-02,1.1227,0.7294,1.539210309843707
2015-03-03,1.1168,0.7276,1.5349092908191313
2015-03-04,1.1124,0.7259,1.5324424851907976
2015-03-05,1.1069,0.7251,1.5265480623362295
2015-03-06,1.0963,0.722,1.5184210526315791
2015-03-09,1.086,0.7186,1.5112719176175897
2015-03-10,1.0738,0.7128,1.50645342312009
2015-03-11,1.0578,0.70355,1.5035178736408217
2015-03-12,1.0613,0.7091,1.496685939923847
2015-03-13,1.0572,0.71525,1.4780845858091574
2015-03-16,1.0557,0.7131,1.4804375262936476
2015-03-17,1.0635,0.71995,1.4771859156885894
2015-03-18,1.0592,0.723,1.4650069156293222
2015-03-19,1.0677,0.7183,1.4864262842823333
2015-03-20,1.0776,0.7255,1.4853204686423154
2015-03-23,1.0912,0.7318,1.4911177917463787
2015-03-24,1.095,0.7344,1.4910130718954246
2015-03-25,1.0985,0.7365,1.4915139171758316
2015-03-26,1.0973,0.7371,1.4886718220051554
2015-03-27,1.0856,0.7298,1.4875308303644832
2015-03-30,1.0845,0.7328,1.4799399563318778
2015-03-31,1.0759,0.7273,1.4793070259865257
2015-04-01,1.0755,0.7285,1.4763212079615646
2015-04-02,1.083,0.7316,1.480317113176599
2015-04-07,1.0847,0.7286,1.4887455393906122
2015-04-08,1.0862,0.7264,1.4953193832599119
2015-04-09,1.0774,0.7268,1.4823885525591634
2015-04-10,1.057,0.7244,1.4591385974599667
2015-04-13,1.0552,0.7215,1.4625086625086623
2015-04-14,1.0564,0.7217,1.4637661078010253
2015-04-15,1.0579,0.7168,1.475864955357143
2015-04-16,1.0711,0.7189,1.4899151481429962
2015-04-17,1.0814,0.7199,1.5021530768162243
2015-04-20,1.0723,0.71955,1.4902369536515878
2015-04-21,1.07,0.7187,1.488799220815361
2015-04-22,1.0743,0.7129,1.5069434703324451
2015-04-23,1.0772,0.717,1.502370990237099
2015-04-24,1.0824,0.7159,1.5119430088001118
2015-04-27,1.0822,0.7162,1.511030438425021
2015-04-28,1.0927,0.715,1.5282517482517484
2015-04-29,1.1002,0.7161,1.5363776008937302
2015-04-30,1.1215,0.7267,1.5432778312921425
2015-05-04,1.1152,0.73788,1.5113568601940695
2015-05-05,1.1117,0.735,1.512517006802721
2015-05-06,1.123,0.7376,1.5225054229934922
2015-05-07,1.1305,0.7425,1.5225589225589224
2015-05-08,1.1221,0.728,1.541346153846154
2015-05-11,1.1142,0.7196,1.548360200111173
2015-05-12,1.1239,0.7164,1.5688163037409266
2015-05-13,1.1221,0.7174,1.5641204349038194
2015-05-14,1.1419,0.7231,1.579173005116858
2015-05-15,1.1328,0.7211,1.5709332963527944
2015-05-18,1.1389,0.727,1.5665749656121046
2015-05-19,1.118,0.72185,1.5487982267784168
2015-05-20,1.1118,0.7157,1.5534441805225652
2015-05-21,1.1133,0.7099,1.5682490491618537
2015-05-22,1.1164,0.7138,1.5640235360044832
2015-05-25,1.0978,0.71,1.5461971830985919
2015-05-26,1.0926,0.7096,1.539740698985344
2015-05-27,1.0863,0.707,1.5364922206506366
2015-05-28,1.0896,0.7124,1.5294778214486242
2015-05-29,1.097,0.719,1.5257301808066759
2015-06-01,1.0944,0.71925,1.5215849843587073
2015-06-02,1.1029,0.7243,1.5227115835979566
2015-06-03,1.1134,0.7275,1.530446735395189
2015-06-04,1.1317,0.7354,1.538890399782431
2015-06-05,1.1218,0.7317,1.5331419980866474
2015-06-08,1.1162,0.7318,1.5252801311833835
2015-06-09,1.1249,0.7354,1.5296437313026923
2015-06-10,1.1279,0.7284,1.5484623833058757
2015-06-11,1.1232,0.7266,1.545829892650702
2015-06-12,1.122,0.7245,1.5486542443064184
2015-06-15,1.1218,0.7234,1.5507326513685373
2015-06-16,1.1215,0.7182,1.561542745753272
2015-06-17,1.1279,0.717,1.5730822873082286
2015-06-18,1.1404,0.7167,1.5911818054974187
2015-06-19,1.1299,0.7134,1.5838239416876925
2015-06-22,1.1345,0.7169,1.5825080206444415
2015-06-23,1.1204,0.7101,1.5778059428249545
2015-06-24,1.1213,0.7118,1.57530205113796
2015-06-25,1.1206,0.7126,1.5725512208812797
2015-06-26,1.1202,0.7123,1.5726519724835042
2015-06-29,1.1133,0.7085,1.5713479181369088
2015-06-30,1.1189,0.7114,1.5728141692437447
2015-07-01,1.11,0.70905,1.5654749312460337
2015-07-02,1.1066,0.7103,1.5579332676333943
2015-07-03,1.1096,0.7102,1.562376795268938
2015-07-06,1.1008,0.708,1.5548022598870057
2015-07-07,1.0931,0.7077,1.5445810371626394
2015-07-08,1.1024,0.7173,1.5368743900738882
2015-07-09,1.1054,0.7176,1.5404124860646597
2015-07-10,1.1185,0.7208,1.5517480577136515
2015-07-13,1.1049,0.7115,1.5529163738580463
2015-07-14,1.1031,0.7084,1.5571710897797852
2015-07-15,1.1009,0.7045,1.5626685592618879
2015-07-16,1.0867,0.6981,1.5566537745308693
2015-07-17,1.0889,0.6983,1.5593584419304023
2015-07-20,1.0852,0.6971,1.556735045187204
2015-07-21,1.0867,0.6987,1.555317017317876
2015-07-22,1.0902,0.6982,1.561443712403323
2015-07-23,1.0999,0.7044,1.5614707552526974
2015-07-24,1.0939,0.7069,1.5474607440939314
2015-07-27,1.1058,0.7127,1.5515644731303493
2015-07-28,1.1025,0.7074,1.5585241730279897
2015-07-29,1.103,0.7053,1.5638735289947538
2015-07-30,1.0955,0.701,1.5627674750356633
2015-07-31,1.0967,0.7041,1.5575912512427212
2015-08-03,1.0951,0.7028,1.5581957882754696
2015-08-04,1.0973,0.70275,1.5614372109569548
2015-08-05,1.0883,0.6963,1.5629757288525061
2015-08-06,1.0885,0.7014,1.5518962075848304
2015-08-07,1.0941,0.7051,1.5516947950645301
2015-08-10,1.096,0.7071,1.549992928864376
2015-08-11,1.1055,0.7088,1.559678329571106
2015-08-12,1.1155,0.7149,1.5603580920408449
2015-08-13,1.1109,0.7106,1.5633267661131438
2015-08-14,1.1171,0.7145,1.5634709587123863
2015-08-17,1.11,0.7105,1.5622800844475722
2015-08-18,1.106,0.7042,1.5705765407554673
2015-08-19,1.1041,0.7049,1.5663214640374523
2015-08-20,1.1183,0.7138,1.566685346035304
2015-08-21,1.1281,0.7198,1.5672409002500696
2015-08-24,1.1497,0.7302,1.5745001369487812
2015-08-25,1.1506,0.729,1.578326474622771
2015-08-26,1.1402,0.7314,1.5589280831282473
2015-08-27,1.1284,0.7312,1.5432166301969368
2015-08-28,1.1268,0.7321,1.539133998087693
2015-08-31,1.1215,0.72753,1.5415171882946406
2015-09-01,1.1236,0.7328,1.533296943231441
2015-09-02,1.1255,0.7369,1.5273442800922783
2015-09-03,1.1229,0.7345,1.528795098706603
2015-09-04,1.1138,0.7315,1.522624743677375
2015-09-07,1.1146,0.73035,1.5261176148421989
2015-09-08,1.1162,0.7244,1.5408614025400331
2015-09-09,1.1139,0.7251,1.5362019031857674
2015-09-10,1.1185,0.72655,1.5394673456747643
2015-09-11,1.1268,0.7306,1.542294004927457
2015-09-14,1.1305,0.7334,1.5414507772020725
2015-09-15,1.132,0.7346,1.5409746800980124
2015-09-16,1.1228,0.72665,1.545173054427854
2015-09-17,1.1312,0.72865,1.5524600288204213
2015-09-18,1.1419,0.7298,1.5646752534941077
2015-09-21,1.125,0.7243,1.5532238022918678
2015-09-22,1.1155,0.7223,1.5443721445382803
2015-09-23,1.115,0.7297,1.5280252158421268
2015-09-24,1.1241,0.7387,1.521727358873697
2015-09-25,1.1151,0.73475,1.5176590677101054
2015-09-28,1.117,0.7352,1.5193144722524483
2015-09-29,1.1204,0.7391,1.5158977134352591
2015-09-30,1.1203,0.7385,1.5169939065673663
2015-10-01,1.1153,0.7367,1.5139133975838197
2015-10-02,1.116,0.7358,1.5167164990486546
2015-10-05,1.1236,0.7402,1.5179681167252095
2015-10-06,1.1224,0.7399,1.5169617515880525
2015-10-07,1.1266,0.7358,1.5311225876596901
2015-10-08,1.1254,0.7366,1.527830572902525
2015-10-09,1.1362,0.7407,1.533954367490212
2015-10-12,1.1373,0.7401,1.5366842318605594
2015-10-13,1.1374,0.748,1.5205882352941176
2015-10-14,1.141,0.7418,1.5381504448638448
2015-10-15,1.1439,0.7397,1.5464377450317695
2015-10-16,1.136,0.7356,1.5443175638934201
2015-10-19,1.1333,0.7317,1.5488588219215524
2015-10-20,1.1373,0.7352,1.5469260065288357
2015-10-21,1.1354,0.7349,1.5449721050483058
2015-10-22,1.1313,0.7314,1.5467596390484002
2015-10-23,1.1084,0.71955,1.5404071989437844
2015-10-26,1.1011,0.7184,1.5327115812917593
2015-10-27,1.1061,0.7214,1.5332686443027448
2015-10-28,1.1085,0.7248,1.529387417218543
2015-10-29,1.093,0.7167,1.5250453467280591
2015-10-30,1.1017,0.7182,1.5339738234475075
2015-11-02,1.1032,0.7132,1.5468311833987662
2015-11-03,1.0976,0.71315,1.5390871485662203
2015-11-04,1.0935,0.7094,1.5414434733577669
2015-11-05,1.0883,0.7126,1.5272242492281785
2015-11-06,1.0864,0.71765,1.5138298613530272
2015-11-09,1.0776,0.7141,1.5090323484105868
2015-11-10,1.0711,0.7084,1.5119988706945227
2015-11-11,1.0716,0.706,1.517847025495751
2015-11-12,1.0726,0.7064,1.5184031710079275
2015-11-13,1.0764,0.70705,1.5223817268934305
2015-11-16,1.0723,0.7058,1.5192689147067158
2015-11-17,1.067,0.7017,1.5205928459455607
2015-11-18,1.0666,0.7009,1.5217577400485092
2015-11-19,1.0687,0.6998,1.5271506144612748
2015-11-20,1.0688,0.701,1.524679029957204
2015-11-23,1.0631,0.7025,1.5133096085409252
2015-11-24,1.0651,0.7062,1.508212970829793
2015-11-25,1.0586,0.70175,1.5085144282151763
2015-11-26,1.0612,0.7028,1.5099601593625498
2015-11-27,1.058,0.7029,1.5051927727984067
2015-11-30,1.0579,0.7048,1.5009931895573214
2015-12-01,1.06,0.7036,1.5065378055713474
2015-12-02,1.0612,0.7059,1.5033290834395807
2015-12-03,1.0671,0.7122,1.4983150800336982
2015-12-04,1.0902,0.7201,1.5139563949451467
2015-12-07,1.0809,0.7177,1.5060610282847986
2015-12-08,1.0875,0.7271,1.4956677210837572
2015-12-09,1.0941,0.7251,1.5088953247827888
