date,EUR/USD,EUR/GBP,EUR/JPY,EUR/AUD,EUR/NZD,GBP/USD,USD/JPY,AUD/NZD,AUD/JPY,NZD/JPY,AUD/USD,NZD/USD,GBP/JPY
1999-01-04,1.1789,0.7111,133.73,1.91,2.2229,1.6578540289692028,113.43625413521077,1.163821989528796,70.01570680628272,60.160151153898056,0.6172251308900524,0.5303432453101804,188.06075094923358
1999-01-05,1.179,0.7122,130.96,1.8944,2.2011,1.6554338668913227,111.0771840542833,1.1618982263513513,69.13006756756756,59.49752396529009,0.6223606418918919,0.535641270273954,183.88093232238134
1999-01-06,1.1743,0.7076,131.42,1.882,2.189,1.6595534200113056,111.91348037128502,1.163124335812965,69.82996811902231,60.036546368204654,0.6239638682252923,0.536455002284148,185.7263990955342
1999-01-07,1.1632,0.70585,129.43,1.8474,2.1531,1.647942197350712,111.27063273727649,1.1654758038324131,70.06062574428928,60.113324973294326,0.6296416585471474,0.5402442989178394,183.36757101367147
1999-01-08,1.1659,0.7094,130.09,1.8406,2.1557,1.6435015506061459,111.57903765331504,1.171194175812235,70.67803976964034,60.34698705756831,0.633434749538194,0.540845201094772,183.3803213983648
1999-01-11,1.1569,0.7044,126.33,1.8134,2.1257,1.6423906871095968,109.19699196127581,1.172217933164222,69.66471820888938,59.42983487792256,0.6379728686445352,0.5442442489532859,179.3441226575809
1999-01-12,1.152,0.7066,129.63,1.809,2.121,1.6303424851401074,112.52604166666667,1.1724709784411278,71.65837479270316,61.117397454031114,0.6368159203980099,0.5431400282885431,183.4559864138126
1999-01-13,1.1744,0.7084,131.89,1.862,2.1744,1.6578204404291361,112.30415531335147,1.1677765843179375,70.83243823845326,60.65581309786607,0.6307196562835661,0.540103016924209,186.18012422360246
1999-01-14,1.1653,0.7062,132.74,1.8353,2.157,1.6500991220617387,113.9105809662748,1.175284694600338,72.32605023701848,61.53917477978674,0.634937067509399,0.5402410755679184,187.96374964599264
1999-01-15,1.1626,0.7039,131.74,1.8388,2.1582,1.6516550646398638,113.3149836573198,1.173700239286491,71.64455079399609,61.041608748030775,0.6322601696758756,0.5386896487813919,187.15726665719563
1999-01-18,1.1612,0.7013,132.9,1.8292,2.1671,1.6557821189220019,114.45056837754048,1.1847255630876887,72.65471244259787,61.3261962992017,0.6348130330198994,0.5358312952794057,189.50520461999145
1999-01-19,1.1616,0.7,132.14,1.8295,2.1614,1.6594285714285715,113.75688705234158,1.1814156873462696,72.2273845312927,61.13630054594244,0.6349275758403936,0.5374294438789673,188.77142857142857
1999-01-20,1.1575,0.7014,131.59,1.8064,2.1499,1.6502708867978328,113.68466522678186,1.1901572187776794,72.84654561558902,61.207498023163865,0.6407772364924712,0.5383971347504535,187.61049329911606
1999-01-21,1.1572,0.7023,130.34,1.8171,2.1489,1.6477288907874128,112.6339440027653,1.1825986461944857,71.72967915909967,60.65428824049514,0.6368389191568984,0.5385080738982736,185.59020361668803
1999-01-22,1.1567,0.7005,131.88,1.8225,2.1519,1.651249107780157,114.01400536007607,1.1807407407407406,72.36213991769547,61.28537571448487,0.6346776406035666,0.5375249779264836,188.26552462526766
1999-01-25,1.1584,0.6989,132.09,1.8317,2.1659,1.6574617255687512,114.02796961325966,1.1824534585357864,72.11333733690014,60.986195115194604,0.632417972375389,0.5348354032965511,188.99699527829446
